"Date","PM2.5 AQI Value","AQI Category","Site Name","Site ID","Source"
"06/01/2020","44","Good","Berkeley Aquatic Park","06-001-0013","AirNow"
"06/02/2020","55","Moderate","Berkeley Aquatic Park","06-001-0013","AirNow"
"06/03/2020","59","Moderate","Berkeley Aquatic Park","06-001-0013","AirNow"
"06/04/2020","64","Moderate","Berkeley Aquatic Park","06-001-0013","AirNow"
"06/05/2020","44","Good","Berkeley Aquatic Park","06-001-0013","AirNow"
"06/06/2020","28","Good","Berkeley Aquatic Park","06-001-0013","AirNow"
"06/07/2020","25","Good","Berkeley Aquatic Park","06-001-0013","AirNow"
"06/08/2020","30","Good","Berkeley Aquatic Park","06-001-0013","AirNow"
"06/09/2020","42","Good","Berkeley Aquatic Park","06-001-0013","AirNow"
"06/10/2020","31","Good","Berkeley Aquatic Park","06-001-0013","AirNow"
"06/11/2020","28","Good","Berkeley Aquatic Park","06-001-0013","AirNow"
"06/12/2020","24","Good","Berkeley Aquatic Park","06-001-0013","AirNow"
"06/13/2020","23","Good","Berkeley Aquatic Park","06-001-0013","AirNow"
"06/14/2020","19","Good","Pleasanton - Owens Ct","06-001-0015","AirNow"
"06/15/2020","30","Good","Berkeley Aquatic Park","06-001-0013","AirNow"
"06/16/2020","33","Good","Berkeley Aquatic Park","06-001-0013","AirNow"
"06/17/2020","38","Good","Berkeley Aquatic Park","06-001-0013","AirNow"
"06/18/2020","62","Moderate","Berkeley Aquatic Park","06-001-0013","AirNow"
"06/19/2020","43","Good","Oakland","06-001-0009","AirNow"
"06/20/2020","32","Good","Pleasanton - Owens Ct","06-001-0015","AirNow"
"06/21/2020","33","Good","Berkeley Aquatic Park","06-001-0013","AirNow"
"06/22/2020","37","Good","Berkeley Aquatic Park","06-001-0013","AirNow"
"06/23/2020","32","Good","Pleasanton - Owens Ct","06-001-0015","AirNow"
"06/24/2020","38","Good","Pleasanton - Owens Ct","06-001-0015","AirNow"
"06/25/2020","28","Good","Pleasanton - Owens Ct","06-001-0015","AirNow"
"06/26/2020","32","Good","Pleasanton - Owens Ct","06-001-0015","AirNow"
"06/27/2020","38","Good","Pleasanton - Owens Ct","06-001-0015","AirNow"
"06/28/2020","56","Moderate","Berkeley Aquatic Park","06-001-0013","AirNow"
"06/29/2020","58","Moderate","Berkeley Aquatic Park","06-001-0013","AirNow"
"06/30/2020","60","Moderate","Berkeley Aquatic Park","06-001-0013","AirNow"
"07/01/2020","52","Moderate","Berkeley Aquatic Park","06-001-0013","AirNow"
"07/02/2020","41","Good","Oakland","06-001-0009","AirNow"
"07/03/2020","48","Good","Oakland","06-001-0009","AirNow"
"07/04/2020","115","Unhealthy for Sensitive Groups","Oakland","06-001-0009","AirNow"
"07/05/2020","78","Moderate","Oakland","06-001-0009","AirNow"
"07/06/2020","39","Good","Oakland West","06-001-0011","AirNow"
"07/07/2020","49","Good","Berkeley Aquatic Park","06-001-0013","AirNow"
"07/08/2020","51","Moderate","Berkeley Aquatic Park","06-001-0013","AirNow"
"07/09/2020","55","Moderate","Berkeley Aquatic Park","06-001-0013","AirNow"
"07/10/2020","35","Good","Berkeley Aquatic Park","06-001-0013","AirNow"
"07/11/2020","52","Moderate","Berkeley Aquatic Park","06-001-0013","AirNow"
"07/12/2020","53","Moderate","Berkeley Aquatic Park","06-001-0013","AirNow"
"07/13/2020","55","Moderate","Berkeley Aquatic Park","06-001-0013","AirNow"
"07/14/2020","47","Good","Berkeley Aquatic Park","06-001-0013","AirNow"
"07/15/2020","28","Good","Pleasanton - Owens Ct","06-001-0015","AirNow"
"07/16/2020","27","Good","Pleasanton - Owens Ct","06-001-0015","AirNow"
"07/17/2020","26","Good","Pleasanton - Owens Ct","06-001-0015","AirNow"
"07/18/2020","25","Good","Oakland","06-001-0009","AirNow"
"07/19/2020","20","Good","Oakland","06-001-0009","AirNow"
"07/20/2020","18","Good","Berkeley Aquatic Park","06-001-0013","AirNow"
"07/21/2020","18","Good","Pleasanton - Owens Ct","06-001-0015","AirNow"
"07/22/2020","20","Good","Pleasanton - Owens Ct","06-001-0015","AirNow"
"07/23/2020","19","Good","Berkeley Aquatic Park","06-001-0013","AirNow"
"07/24/2020","38","Good","Pleasanton - Owens Ct","06-001-0015","AirNow"
"07/25/2020","42","Good","Oakland","06-001-0009","AirNow"
"07/26/2020","35","Good","Pleasanton - Owens Ct","06-001-0015","AirNow"
"07/27/2020","26","Good","Pleasanton - Owens Ct","06-001-0015","AirNow"
"07/28/2020","55","Moderate","Laney College","06-001-0012","AirNow"
